title,link,published,source,region,country_code,vis_category
工信部李乐成：集成电路、新材料、航空航天、生物制造、具身智能、6G等都是重点,https://finance.sina.com.cn/stock/bxjj/2026-01-12/doc-inhfzuku0039126.shtml,2026-01-12 13:00:53,Sina News (Tech),China (Mainland),CN,Domestic China
大华股份：紧密跟进6G技术发展,https://cj.sina.com.cn/articles/view/1850649324/6e4eaaec0200255nq,2026-01-12 13:00:53,Sina News (Tech),China (Mainland),CN,Domestic China
工信部部长李乐成：“十五五”时期将聚焦量子科技、人形机器人、脑机接口、深海极地、6G等领域 加强技术攻关、企业培育等,https://finance.sina.com.cn/roll/2026-01-12/doc-inhfziuy0059567.shtml,2026-01-12 13:00:53,Sina News (Tech),China (Mainland),CN,Domestic China
大名城2026年1月12日涨停分析：6G布局+净利润增长+现金流改善,https://finance.sina.com.cn/stock/aiassist/ydfx/2026-01-12/doc-inhfzcnu7638609.shtml,2026-01-12 13:00:53,Sina News (Tech),China (Mainland),CN,Domestic China
这座园区如何孕育6G未来产业？,https://k.sina.com.cn/article_1914880192_7222c0c002001kjwq.html,2026-01-12 13:00:53,Sina News (Tech),China (Mainland),CN,Domestic China
南京启动6G产业联盟，2027年建成全域6G之城,https://k.sina.com.cn/article_1831650534_6d2cc4e604001k9nk.html,2026-01-12 13:00:53,Sina News (Tech),China (Mainland),CN,Domestic China
高通CEO安蒙宣布2028年推6G预商用终端，汽车业务单季营收破十亿,https://t.cj.sina.com.cn/articles/view/1642634100/61e89b7404001khps,2026-01-12 13:00:53,Sina News (Tech),China (Mainland),CN,Domestic China
"太空抢滩战打响!美国用星链围猎中国卫星,扼杀6G的太空路



































网易31分钟前",https://www.163.com/dy/article/KJ3JR62G0556832H.html,2026-01-12 13:00:59,So.com (360 Search),China (Mainland),CN,Domestic China
"紫光股份:参与6G网络ICT服务项目并已规模交付




										紫光股份董秘:您好,卫星互联网是6G的重要组成部分,作为国内主流卫星运营商的战略合作伙伴,公司充分发挥在ICT基础设施和智算领域的软硬件优势,为6G网...
									快资讯2小时前",https://www.360kuai.com/pc/9c1af2f7c0e8d62c9?cota=3&kuai_so=1&refer_scene=so_3&sign=360_da20e874,2026-01-12 13:00:59,So.com (360 Search),China (Mainland),CN,Domestic China
"...集成电路、新材料、航空航天、生物制造、具身智能、6G等都是重点




										格隆汇1月12日|据央视,工信部李乐成接受采访表示,工业增长要更多依靠""价值创造""和""以质取胜""。传统产业焕新,新兴产业壮大,集成...
									新浪财经2小时前",https://finance.sina.com.cn/stock/bxjj/2026-01-12/doc-inhfzuku0039126.shtml,2026-01-12 13:00:59,So.com (360 Search),China (Mainland),CN,Domestic China
"紫光股份:为6G网络提供一站式ICT服务
										







											紫光股份回复:您好,卫星互联网是6G的重要组成部分,作为国内主流卫星运营商的战略合作伙伴,公司充分发挥在ICT基础设施和智算领域的软硬件优势,为6G网...
										
中金在线
3小时前",http://sc.stock.cnfol.com/gushiyaowen/20260112/31934445.shtml,2026-01-12 13:00:59,So.com (360 Search),China (Mainland),CN,Domestic China
"大华股份:紧密跟进6G技术发展




										大华股份董秘:尊敬的投资者,您好!6G是未来承载视频数据的一种新型基础网络,公司会紧密跟进该技术的发展和技术标准的确立。如有商业化进展,我们将快速...
									快资讯5小时前",https://www.360kuai.com/pc/99341c55917f1782d?cota=3&kuai_so=1&refer_scene=so_3&sign=360_da20e874,2026-01-12 13:00:59,So.com (360 Search),China (Mainland),CN,Domestic China
"大华股份:将跟进6G发展,有进展将完成产品适配落地




										尊敬的投资者,您好!6G是未来承载视频数据的一种新型基础网络,公司会紧密跟进该技术的发展和技术标准的确立。如有商业化进展,我们将快速完成产品与6G...
									新浪财经8小时前",https://finance.sina.com.cn/stock/relnews/dongmiqa/2026-01-12/doc-inhfziuy0070988.shtml,2026-01-12 13:00:59,So.com (360 Search),China (Mainland),CN,Domestic China
"...机器人、脑机接口、深海极地、6G等领域 加强技术攻关、企业培育等



































新浪财经8小时前",https://finance.sina.com.cn/jjxw/2026-01-12/doc-inhfziuz4705900.shtml,2026-01-12 13:00:59,So.com (360 Search),China (Mainland),CN,Domestic China
"1月12日6G概念板块涨幅达6%




										1月12日11点8分,6G概念板块指数报2559.845点,涨幅达6%,成交687.37亿元,换手率7.40%。  板块个股中,涨幅最大的前5个股为:信科移动-U报19.01元,涨20.01...
									东方财富网8小时前",https://finance.eastmoney.com/a/202601123615512479.html,2026-01-12 13:00:59,So.com (360 Search),China (Mainland),CN,Domestic China
"大名城2026年1月12日涨停分析:6G布局+净利润增长+现金流改善



































新浪财经10小时前",https://finance.sina.com.cn/stock/aiassist/ydfx/2026-01-12/doc-inhfzcnu7638609.shtml,2026-01-12 13:00:59,So.com (360 Search),China (Mainland),CN,Domestic China
"这座园区如何孕育6G未来产业?
										







											从""连接""到""连接+感知+智能"",第六代移动通信(6G)不仅是全球新一轮科技革命和产业变革的战略制高点,也是未来产业发展的关键方向...
										
新浪财经
1天前",https://finance.sina.com.cn/jjxw/2026-01-11/doc-inhfxevv7944974.shtml,2026-01-12 13:00:59,So.com (360 Search),China (Mainland),CN,Domestic China
